Country	Year	Organization	Publisher	Material	Resource.type	CostUSD	CostEUR	CostNAT	Cost
Finland	2010	University of Helsinki	BTJ Kirjastopalvelu	aleksi	reference database	5883.59901026885	5305	4434.65096560895	5305
Finland	2010	Humak University of Applied Sciences (Humak)	BTJ Kirjastopalvelu	aleksi	reference database	3106.49591475269	2801	2341.46227232246	2801
Finland	2010	University of Eastern Finland	BTJ Kirjastopalvelu	aleksi	reference database	4470.64799441918	4031	3369.66598348156	4031
Finland	2010	Jyväskylä University of Applied Sciences (JAMK)	BTJ Kirjastopalvelu	aleksi	reference database	3944.95036371843	3557	2973.43138259586	3557
Finland	2010	University of Jyväskylä	BTJ Kirjastopalvelu	aleksi online	other	4470.64799441918	4031	3369.66598348156	4031
Finland	2010	Kajaani University of Applied Sciences (KAMK)	BTJ Kirjastopalvelu	aleksi	reference database	3308.34605987408	2983	2493.60298405495	2983
Finland	2010	Finnish National Gallery Library	BTJ Kirjastopalvelu	aleksi	reference database	941.597654989303	849	709.711342092742	849
Finland	2010	Kymenlaakso University of Applied Sciences (KyAMK)	BTJ Kirjastopalvelu	aleksi	reference database	3689.86501548812	3327	2781.16564798887	3327
Finland	2010	University of Lapland	BTJ Kirjastopalvelu	aleksi	reference database	3176.36711883317	2864	2394.12636484525	2864
Finland	2010	Laurea University of Applied Sciences	BTJ Kirjastopalvelu	aleksi	reference database	4072.49303783359	3672	3069.56424989935	3672
Finland	2010	Mikkeli University of Applied Sciences (MAMK)	BTJ Kirjastopalvelu	aleksi	reference database	3689.86501548812	3327	2781.16564798887	3327
Finland	2010	Oulu University of Applied Sciences	BTJ Kirjastopalvelu	aleksi	reference database	4198.92664521732	3786	3164.86117922629	3786
Finland	2010	Police College of Finland (Polamk)	BTJ Kirjastopalvelu	aleksi	reference database	2259.16893193547	2037	1702.80565823665	2037
Finland	2010	Savonia University of Applied Sciences	BTJ Kirjastopalvelu	aleksi	reference database	3944.95036371843	3557	2973.43138259586	3557
Finland	2010	Seinäjoki University of Applied Sciences (SeAMK)	BTJ Kirjastopalvelu	aleksi	reference database	3817.40768960328	3442	2877.29851529237	3442
